accuracy,loss,val_accuracy,val_loss
0.5672756433486938,1.376404881477356,0.6382477879524231,1.0697880983352661
0.676491379737854,0.9765793681144714,0.6825247406959534,0.9768442511558533
0.7147471308708191,0.8537943959236145,0.6905322670936584,0.9201739430427551
0.7421015501022339,0.7651516795158386,0.7060763239860535,0.879570484161377
0.761986494064331,0.6998823285102844,0.7089024782180786,0.8770833611488342
0.7736953496932983,0.6502552628517151,0.7357512712478638,0.8381991982460022
0.7850005030632019,0.6125854849815369,0.7418746948242188,0.7797876000404358
0.8057938814163208,0.5707013010978699,0.7550635933876038,0.7694162130355835
0.8108408451080322,0.5402535200119019,0.7385774850845337,0.7917457818984985
0.823256254196167,0.5101873278617859,0.7258596420288086,0.8134790062904358
